Date start:01/01/2019;Date stop:30/06/2019
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2019/01/07 12:58:47;null;null;null;null;null;null;
2019/01/07 13:20:58;0;0;0;0;;0;
2019/01/07 13:20:59;;;;;0;;
2019/01/07 13:22:42;;;;;356;;
2019/01/07 13:23:47;;;;;191;;
2019/01/07 13:23:52;;;;;0;;
2019/01/07 13:45:22;;;;;276;;
2019/01/07 14:11:43;;;;;0;;
2019/01/07 21:38:40;;;null;;;;
2019/01/07 21:43:01;;;0;;;;
2019/01/07 21:43:16;;;341;;;;
2019/01/07 21:43:41;;;0;;;;
2019/01/08 00:00:37;null;null;null;null;null;null;
2019/01/08 00:01:00;;;;0;0;0;
2019/01/08 00:01:01;0;0;0;;;;
2019/01/08 08:53:33;null;null;null;null;null;null;
2019/01/08 09:36:08;0;0;0;0;0;0;
2019/01/09 00:00:47;null;null;null;null;null;;
2019/01/09 00:00:47;;;;;;null;
2019/01/09 00:01:11;0;0;0;;;;
2019/01/09 00:01:12;;;;0;0;0;
2019/01/09 03:55:00;;;;275;;;
2019/01/09 04:21:26;;;;0;;;
2019/01/09 05:35:02;;275;;;;;
2019/01/09 06:02:13;;0;;;;;
2019/01/10 00:00:47;null;null;null;null;null;null;
2019/01/10 00:01:06;0;0;0;;;;
2019/01/10 00:01:07;;;;0;0;0;
2019/01/10 09:13:04;;;;;356;;
2019/01/10 09:14:05;;;;;0;;
2019/01/10 09:53:04;;;;;356;;
2019/01/10 09:53:09;;;;;338;;
2019/01/10 09:54:09;;;;;0;;
2019/01/11 00:00:47;null;null;null;null;null;null;
2019/01/11 00:01:05;;;;0;0;0;
2019/01/11 00:01:05;0;0;0;;;;
2019/01/12 00:00:37;null;null;null;null;null;null;
2019/01/12 00:00:53;;;;0;0;0;
