Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica I.L1.CM1.Status.WTG Event;Marsica I.L1.R1.Status.WTG Event;Marsica I.L1.R2.Status.WTG Event;Marsica I.L1.R3.Status.WTG Event;
2018/08/06 15:18:55;;;0;0;
2018/08/06 15:19:00;;0;;;
2018/08/06 16:10:32;315;899;;315;
2018/08/06 16:10:37;;315;;;
2018/08/06 16:10:58;;;null;;
2018/08/06 16:11:28;null;null;;null;
2018/08/06 17:26:03;;;223;;
2018/08/06 17:26:23;;;224;;
2018/08/06 17:26:28;224;224;;224;
2018/08/06 17:26:53;;0;;;
2018/08/06 17:32:50;0;;;;
2018/08/06 17:33:55;;;0;;
2018/08/06 17:34:00;;;;0;
2018/08/06 17:37:13;null;null;null;null;
2018/08/06 17:40:51;0;0;0;0;
2018/08/06 19:04:54;315;315;;315;
2018/08/06 19:05:14;;;null;;
2018/08/06 19:05:39;null;;;;
2018/08/06 19:05:44;;null;;;
2018/08/06 19:06:14;;;;null;
2018/08/06 19:38:46;222;;;;
2018/08/06 19:38:56;;222;;;
2018/08/06 19:39:01;;900;;222;
2018/08/06 19:39:26;;224;;;
2018/08/06 19:39:36;223;;;;
2018/08/06 19:39:41;;;;223;
2018/08/06 19:39:56;224;;;224;
2018/08/06 19:40:21;;;224;;
2018/08/06 20:02:08;;;0;;
2018/08/06 20:09:49;;0;;;
2018/08/06 20:11:10;0;;;;
2018/08/06 20:12:20;;;;0;
2018/08/07 00:00:37;null;null;null;null;
2018/08/07 00:00:54;0;0;0;0;
2018/08/07 07:42:47;;202;;;
2018/08/07 07:43:52;;224;;;
2018/08/07 07:58:31;;0;;;
2018/08/07 14:06:40;;null;;;
2018/08/07 14:09:11;;224;;;
2018/08/07 14:09:31;;0;;;
2018/08/07 16:47:58;null;null;null;null;
2018/08/07 17:09:13;0;0;0;0;
2018/08/07 17:25:42;276;;;;
2018/08/07 17:53:49;224;;;;
2018/08/07 17:54:39;0;;;;
2018/08/07 18:57:26;null;null;null;null;
2018/08/07 19:03:34;;0;0;0;
2018/08/07 19:03:35;0;;;;
2018/08/08 00:00:47;null;null;null;null;
2018/08/08 00:01:03;0;0;0;0;
2018/08/08 09:39:05;;null;;;
2018/08/08 09:39:20;;0;;;
2018/08/08 09:39:25;;null;;;
2018/08/08 09:39:35;;0;;;
2018/08/08 09:41:26;;null;;;
2018/08/08 09:41:36;;0;;;
2018/08/08 09:43:26;;null;;;
2018/08/08 09:43:36;;0;;;
2018/08/08 09:45:27;;null;;;
2018/08/08 09:45:37;;0;;;
2018/08/08 09:47:28;;null;;;
2018/08/08 09:47:43;;0;;;
2018/08/08 09:49:33;;null;;;
2018/08/08 09:49:43;;0;;;
2018/08/08 09:50:18;;null;;;
2018/08/08 10:42:11;;224;;;
2018/08/08 10:44:22;;0;;;
2018/08/09 00:00:36;null;null;null;null;
2018/08/09 00:00:52;0;0;0;0;
2018/08/09 10:08:31;0;0;0;0;
2018/08/09 11:29:08;;;276;;
2018/08/09 11:56:45;;;224;;
2018/08/09 11:58:36;;;0;;
2018/08/10 00:00:38;null;null;null;null;
2018/08/10 00:00:52;0;0;0;0;
2018/08/10 08:18:21;;202;;;
2018/08/10 08:19:22;;224;;;
2018/08/10 08:22:17;;0;;;
2018/08/11 00:00:47;null;null;null;null;
2018/08/11 00:01:04;0;0;0;0;
2018/08/11 03:27:35;;;null;;
2018/08/11 03:29:45;;;222;;
2018/08/11 03:30:21;;;223;;
2018/08/11 03:30:41;;;224;;
2018/08/11 04:46:58;;;0;;
2018/08/12 00:00:48;null;null;null;null;
2018/08/12 00:01:02;0;0;0;0;
2018/08/13 00:00:47;null;null;null;null;
2018/08/13 00:01:02;0;0;0;0;
2018/08/13 10:45:08;;;null;;
2018/08/13 11:22:57;;;0;;
2018/08/13 11:26:58;;;;null;
2018/08/13 12:00:01;;;;0;
2018/08/13 12:02:52;null;;;;
2018/08/13 12:33:39;0;;;;
2018/08/14 00:00:47;null;null;null;null;
2018/08/14 00:01:16;0;0;0;0;
2018/08/15 00:00:48;null;null;null;null;
2018/08/15 00:01:00;0;0;0;0;
2018/08/15 11:32:54;315;315;;;
2018/08/15 11:32:59;;;;315;
2018/08/15 11:33:20;;;null;;
2018/08/15 11:33:45;;;;null;
2018/08/15 11:33:50;null;;;;
2018/08/15 11:34:00;;null;;;
2018/08/15 12:06:32;;;222;;
2018/08/15 12:06:42;222;222;;;
2018/08/15 12:06:52;;;;222;
2018/08/15 12:07:17;223;;;;
2018/08/15 12:07:22;;223;;223;
2018/08/15 12:07:27;;;223;;
2018/08/15 12:07:42;224;;;;
2018/08/15 12:07:47;;224;;224;
2018/08/15 12:07:53;;;224;;
2018/08/15 12:07:58;;;;0;
2018/08/15 12:08:13;0;;;;
2018/08/15 12:08:23;;0;;;
2018/08/15 12:08:38;;;0;;
2018/08/16 00:00:47;null;null;null;null;
2018/08/16 00:01:00;0;0;0;0;
2018/08/16 14:25:11;315;315;;315;
2018/08/16 14:25:36;;;null;;
2018/08/16 14:26:06;null;;;null;
2018/08/16 14:26:26;;null;;;
2018/08/16 14:49:36;;222;;222;
2018/08/16 14:50:11;;;;223;
2018/08/16 14:50:16;;223;;;
2018/08/16 14:50:41;;;;224;
2018/08/16 14:50:46;;224;;0;
2018/08/16 14:51:01;;0;;;
2018/08/16 14:51:17;;;222;;
2018/08/16 14:51:37;100;;223;;
2018/08/16 14:52:02;;;224;;
