Date start:22/06/2018;Date stop:31/12/2018
Data;WTE2.L1.WTG1.Status.WTG Event;WTE2.L1.WTG2.Status.WTG Event;WTE2.L1.WTG3.Status.WTG Event;WTE2.L2.WTG12.Status.WTG Event;WTE2.L2.WTG13.Status.WTG Event;WTE2.L2.WTG14.Status.WTG Event;
2018/07/13 10:08:12;0;0;0;0;0;0;
2018/07/14 00:00:47;null;null;null;null;null;null;
2018/07/14 00:01:06;;;;0;0;0;
2018/07/14 00:01:07;0;0;0;;;;
2018/07/15 00:00:47;null;null;null;null;null;null;
2018/07/15 00:01:05;0;0;0;;;;
2018/07/15 00:01:07;;;;0;0;0;
2018/07/16 00:00:47;null;null;null;null;null;null;
2018/07/16 00:01:10;;;;0;0;0;
2018/07/16 00:01:14;0;0;0;;;;
2018/07/17 00:00:37;null;null;null;null;null;null;
2018/07/17 00:00:55;;;;0;0;0;
2018/07/17 00:00:56;0;0;0;;;;
2018/07/17 00:18:45;275;;;;;;
2018/07/17 00:46:15;0;;;;;;
2018/07/17 06:37:49;;;275;;;;
2018/07/17 07:04:29;;;0;;;;
2018/07/17 10:44:50;;;;;309;;
2018/07/17 10:46:11;;;;;0;;
2018/07/18 00:00:48;null;null;null;null;null;null;
2018/07/18 00:01:05;0;0;0;;;;
2018/07/18 00:01:09;;;;0;0;0;
2018/07/18 15:35:34;null;null;null;null;null;null;
2018/07/18 16:00:12;0;0;0;0;0;;
2018/07/18 16:00:12;;;;;;0;
2018/07/19 00:00:38;null;null;null;null;null;null;
2018/07/19 00:00:57;0;0;0;;;;
2018/07/19 00:00:59;;;;0;0;0;
2018/07/20 00:00:37;null;null;null;null;null;null;
2018/07/20 00:00:55;;;;0;0;0;
2018/07/20 00:00:56;0;0;0;;;;
2018/07/20 03:49:53;;;;;;275;
2018/07/20 04:16:53;;;;;;0;
2018/07/20 11:11:06;;275;;;;;
2018/07/20 11:37:56;;0;;;;;
2018/07/21 00:00:37;null;null;null;null;null;null;
2018/07/21 00:00:57;0;0;0;;;;
2018/07/21 00:00:59;;;;0;0;0;
2018/07/21 07:44:01;;;171;;;;
2018/07/21 07:45:01;;;0;;;;
2018/07/22 00:00:38;null;null;null;null;null;null;
2018/07/22 00:00:57;0;0;0;;;;
2018/07/22 00:00:57;;;;0;0;0;
2018/07/23 00:00:47;null;null;null;null;null;null;
2018/07/23 00:01:08;;;;0;0;0;
2018/07/23 00:01:08;0;0;0;;;;
