Date start:01/01/2019;Date stop:30/06/2019
Data;Pescina Wind.L1.WTG4.Status.WTG Event;Pescina Wind.L1.WTG5.Status.WTG Event;Pescina Wind.L1.WTG6.Status.WTG Event;Pescina Wind.L1.WTG8.Status.WTG Event;Pescina Wind.L2.WTG10.Status.WTG Event;Pescina Wind.L2.WTG11.Status.WTG Event;Pescina Wind.L2.WTG7.Status.WTG Event;Pescina Wind.L2.WTG9.Status.WTG Event;
2019/01/03 15:29:49;;;;;;356;;;
2019/01/03 15:30:50;;;;;;0;;;
2019/01/03 15:31:55;;;;;;0;;;
2019/01/03 15:43:19;;;;;;;;356;
2019/01/03 15:44:24;;;;;;;;0;
2019/01/03 16:04:07;;;356;;;;;;
2019/01/03 16:05:07;;;0;;;;;;
2019/01/03 16:11:10;;;;356;;;;;
2019/01/03 16:12:10;;;;0;;;;;
2019/01/03 16:17:46;;;;;;356;;;
2019/01/03 16:18:46;;;;;;0;;;
2019/01/03 17:24:00;;;144;;;;;;
2019/01/03 17:26:29;;;;;;430;;;
2019/01/03 17:27:29;;;;;;83;;;
2019/01/03 17:27:39;;;;;;0;;;
2019/01/03 17:34:14;;;0;;;;;;
2019/01/03 17:35:25;144;;;;;;;;
2019/01/03 17:37:25;;144;;;;;;;
2019/01/03 17:40:54;;;;;;;;338;
2019/01/03 17:41:22;0;;;;;;;;
2019/01/03 17:41:59;;;;;;;;0;
2019/01/03 17:42:54;;;;;;356;;;
2019/01/03 17:43:50;;;;;;0;;;
2019/01/03 17:49:45;;;;338;;;;;
2019/01/03 17:50:05;;0;;;;;;;
2019/01/03 17:50:50;;;;0;;;;;
2019/01/03 18:00:10;;;;;356;;;;
2019/01/03 18:01:11;;;;;0;;;;
2019/01/03 18:03:06;;;;;;;;356;
2019/01/03 18:03:26;;;;;;356;;;
2019/01/03 18:04:01;;;;;356;;;;
2019/01/03 18:04:06;;;;;;;;0;
2019/01/03 18:04:26;;;;;;0;;;
2019/01/03 18:05:02;;;;;0;;;;
2019/01/03 18:05:37;;;;;;;338;;
2019/01/03 18:06:37;;;;;;;0;;
2019/01/03 18:15:31;;;;;430;;;;
2019/01/03 18:16:36;;;;;0;;;;
2019/01/03 18:31:36;;;;;186;;;;
2019/01/03 18:37:28;;;;;;;;338;
2019/01/03 18:38:28;;;;;;;;0;
2019/01/03 19:11:29;;;;;;;;356;
2019/01/03 19:12:29;;;;;;;;0;
2019/01/03 19:14:20;;;;;;;;356;
2019/01/03 19:15:15;;;;;;;;186;
2019/01/03 19:22:07;;;;;;356;;;
2019/01/03 19:23:08;;;;;;0;;;
2019/01/03 19:38:17;;;;356;;;;;
2019/01/03 19:38:58;;;;;;;356;;
2019/01/03 19:39:17;;;;0;;;;;
2019/01/03 19:39:59;;;;;;;84;;
2019/01/03 19:40:09;;;;;;;0;;
2019/01/03 19:43:03;144;;;;;;;;
2019/01/03 19:43:23;;;;356;;;;;
2019/01/03 19:44:24;;;;83;;;;;
2019/01/03 19:44:34;;;;0;;;;;
2019/01/03 19:44:41;;;;;;356;;;
2019/01/03 19:44:46;;;;;;153;;;
2019/01/03 19:45:39;;144;;;;;;;
2019/01/03 19:45:46;;;;;;0;;;
2019/01/03 19:46:41;;;;;;;159;;
2019/01/03 19:47:35;;;144;;;;;;
2019/01/03 19:47:42;;;;;;338;;;
2019/01/03 19:48:47;;;;;;0;;;
2019/01/03 19:49:00;;;;356;;;;;
2019/01/03 19:50:01;;;;0;;;;;
2019/01/03 19:50:26;;891;;;;;;;
2019/01/03 19:53:39;;;;;;338;;;
2019/01/03 19:54:22;;;;338;;;;;
2019/01/03 19:54:32;;;0;;;;;;
2019/01/03 19:54:44;;;;;;0;;;
2019/01/03 19:55:27;;;;0;;;;;
2019/01/03 19:55:29;;;;;;891;;;
2019/01/03 19:55:37;891;;;;;;;;
2019/01/03 19:55:42;;144;338;;;;;;
2019/01/03 19:56:48;;;0;;;;;;
2019/01/03 20:00:51;;;;;;0;;;
2019/01/03 20:00:55;144;;;;;;;;
2019/01/03 20:01:21;;;;;;891;;;
2019/01/03 20:03:30;;;338;;;;;;
2019/01/03 20:04:31;;;0;;;;;;
2019/01/03 20:05:51;;;;153;;;;;
2019/01/03 20:06:51;;;;100;;;;;
2019/01/03 20:07:03;;;;;;0;;;
2019/01/03 20:07:57;;;338;;;;;;
2019/01/03 20:09:02;;;0;;;;;;
2019/01/03 20:10:43;;;356;;;;;;
2019/01/03 20:11:43;;;0;;;;;;
2019/01/03 20:12:55;;;;;100;;;;
2019/01/03 20:16:11;;;;;;891;;;
2019/01/03 20:18:26;;0;;;;;;;
2019/01/03 20:21:27;;;180;;;;;;
2019/01/03 20:21:28;;;;;;0;;;
2019/01/03 20:24:54;;;;;;356;;;
2019/01/03 20:25:03;;430;;;;;;;
2019/01/03 20:25:50;;;;;;0;;;
2019/01/03 20:26:04;;0;;;;;;;
2019/01/03 20:27:24;;144;;;;;;;
2019/01/03 20:29:11;;;;;;356;;;
2019/01/03 20:30:11;;;;;;0;;;
2019/01/03 20:35:48;;;;;;356;;;
2019/01/03 20:36:49;;;;;;100;;;
2019/01/03 20:39:39;;0;;;;;;;
2019/01/03 20:39:44;0;;;;;;;;
2019/01/03 20:43:21;;891;;;;;;;
2019/01/03 20:48:18;;0;;;;;;;
2019/01/03 20:52:08;338;;;;;;;;
2019/01/03 20:53:09;0;;;;;;;;
2019/01/03 20:58:40;;338;;;;;;;
2019/01/03 20:59:36;;0;;;;;;;
2019/01/03 21:02:00;;0;;;;;;;
2019/01/03 21:05:48;;159;;;;;;;
2019/01/03 21:17:37;156;;;;;;;;
2019/01/03 22:37:04;;;;;;0;;;
2019/01/03 22:38:30;;;;;0;;;;
2019/01/03 22:40:17;;;;0;;;;;
2019/01/04 00:00:37;null;null;null;null;null;null;null;null;
2019/01/04 00:00:58;;;;;0;0;159;186;
2019/01/04 00:00:58;156;159;180;0;;;;;
2019/01/04 00:43:42;;;;;;;;309;
2019/01/04 00:44:48;;;;;;;;186;
2019/01/04 06:35:40;;;;;;356;;;
2019/01/04 06:36:41;;;;;;0;;;
2019/01/04 06:39:59;;;;356;;;;;
2019/01/04 06:40:55;;;;84;;;;;
2019/01/04 06:41:05;;;;0;;;;;
2019/01/04 06:44:18;;;;;;356;;;
2019/01/04 06:44:33;;;;;356;;;;
2019/01/04 06:44:38;;;;;338;;;;
2019/01/04 06:45:13;;;;;;0;;;
2019/01/04 06:45:38;;;;;0;;;;
2019/01/04 10:56:21;;;;;;356;;;
2019/01/04 10:57:27;;;;;;0;;;
2019/01/04 11:30:22;;;;;338;;;;
2019/01/04 11:31:22;;;;;0;;;;
2019/01/04 11:32:02;;;;;0;;;;
2019/01/04 12:18:52;;;;;;356;;;
2019/01/04 12:19:53;;;;;;191;;;
2019/01/04 12:20:03;;;;;;0;;;
2019/01/04 19:49:55;;;;338;;;;;
2019/01/04 19:50:56;;;;0;;;;;
2019/01/04 21:58:06;;;;356;;;;;
2019/01/04 21:59:06;;;;0;;;;;
2019/01/05 00:00:47;null;null;null;null;null;null;null;null;
2019/01/05 00:01:07;156;159;180;0;;;;;
2019/01/05 00:01:09;;;;;0;0;159;186;
2019/01/05 11:04:06;null;;;;;;;;
2019/01/05 11:16:11;0;;;;;;;;
2019/01/05 11:20:07;;null;;;;;;;
2019/01/05 11:46:12;;900;;;;;;;
2019/01/05 11:46:17;;0;;;;;;;
2019/01/05 12:19:49;;;null;;;;;;
2019/01/05 12:41:12;;;900;;;;;;
2019/01/05 12:45:10;;;;;;;null;;
2019/01/05 12:53:22;;;0;;;;;;
2019/01/05 13:04:21;;;;;;;900;;
2019/01/05 13:10:44;;;;;;;0;;
2019/01/05 13:11:49;;;;;;;85;;
2019/01/05 13:12:55;;;;;;;0;;
2019/01/05 13:29:40;;;;;;;;null;
2019/01/06 00:00:37;null;null;null;null;;;null;;
2019/01/06 00:00:37;;;;;null;null;;;
2019/01/06 00:00:57;;;;;0;0;0;;
2019/01/06 00:00:59;0;0;0;0;;;;;
2019/01/06 00:11:56;;;;;;275;;;
2019/01/06 00:38:26;;;;;;0;;;
2019/01/06 03:01:07;;;275;;;;;;
2019/01/06 03:14:56;275;;;;;;;;
2019/01/06 03:28:01;;;0;;;;;;
2019/01/06 03:41:36;0;;;;;;;;
2019/01/06 05:50:01;null;null;null;null;null;null;null;;
2019/01/06 05:54:01;;;;;0;;0;;
2019/01/06 05:54:01;;0;;0;;;;;
2019/01/06 05:54:04;;;0;;;0;;;
2019/01/06 05:54:04;0;;;;;;;;
2019/01/06 08:22:17;;;;;275;;;;
2019/01/06 08:27:59;null;null;null;null;null;null;null;;
2019/01/06 08:51:02;;;;;0;;;;
2019/01/06 08:56:43;;;;275;;;;;
2019/01/06 08:58:58;;;;;;;0;;
2019/01/06 08:58:58;;0;;;;;;;
2019/01/06 08:58:59;0;;0;;;0;;;
2019/01/06 08:59:08;;;;;0;;;;
2019/01/06 08:59:08;;;;275;;;;;
2019/01/06 09:23:23;;;;0;;;;;
2019/01/07 00:00:37;null;null;null;null;null;null;null;;
2019/01/07 00:00:55;;;;;0;0;0;;
2019/01/07 00:00:56;0;0;0;0;;;;;
2019/01/07 06:38:27;null;null;null;null;null;null;null;;
2019/01/07 07:21:28;;;;;0;0;0;;
2019/01/07 07:21:28;0;0;0;0;;;;;
2019/01/07 11:53:13;null;null;null;null;null;null;null;;
2019/01/07 12:20:44;;;;;0;;0;;
2019/01/07 12:20:44;0;0;0;0;;0;;;
2019/01/07 12:58:47;null;null;null;null;null;null;null;;
2019/01/07 13:07:59;;;;356;;;;;
2019/01/07 13:09:04;;;;84;;;;;
2019/01/07 13:09:09;;;;0;;;;;
2019/01/07 13:20:58;;;;;0;;0;;
2019/01/07 13:20:58;0;0;0;;;0;;;
2019/01/07 13:20:59;;;;0;;;;;
2019/01/08 00:00:37;null;null;null;null;null;null;null;;
2019/01/08 00:01:00;0;0;0;0;;;;;
2019/01/08 00:01:01;;;;;0;0;0;;
2019/01/08 08:53:33;null;null;null;null;null;null;null;;
2019/01/08 09:36:08;0;0;0;0;;;;;
2019/01/08 09:36:08;;;;;;;0;;
2019/01/08 09:36:08;;;;;0;0;;;
2019/01/09 00:00:47;null;null;null;null;null;null;null;;
2019/01/09 00:01:09;;;;;0;0;0;;
2019/01/09 00:01:10;0;0;0;0;;;;;
2019/01/09 09:38:16;76;;;;;;;;
2019/01/09 09:39:17;0;;;;;;;;
2019/01/10 00:00:47;null;null;null;null;null;null;null;;
2019/01/10 00:01:06;;;;;0;0;0;;
2019/01/10 00:01:07;0;0;0;0;;;;;
