Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2018/07/03 16:47:57;;;;;0;0;;;;0;;;0;0;
2018/07/03 16:47:57;;;;;;;;;0;;0;0;;;
2018/07/03 18:33:07;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018/07/03 18:35:04;0;;;;;;;;;;;;;;
2018/07/03 18:35:09;;0;0;0;0;0;0;0;;;;;;;
2018/07/03 18:35:09;;;;;;;;;0;0;0;;;;
2018/07/03 18:35:10;;;;;;;;;;;;;;0;
2018/07/03 18:35:11;;;;;;;;;;;;0;0;;
2018/07/04 00:00:37;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018/07/04 00:00:46;;0;;;;;0;0;;;;;;;
2018/07/04 00:00:48;;;0;0;;;;;;;;;;;
2018/07/04 00:00:48;;;;;0;0;;;;;;;;;
2018/07/04 00:00:49;;;;;;;;;;;;0;0;0;
2018/07/04 00:00:51;;;;;;;;;0;0;0;;;;
2018/07/04 00:00:51;0;;;;;;;;;;;;;;
2018/07/04 07:10:17;;;;;;;;;null;;;;;;
2018/07/04 07:12:44;;;;;null;;;;;;;;;;
2018/07/04 10:46:34;null;;;;;;;;;;;;;;
2018/07/04 10:47:14;0;;;;;;;;;;;;;;
2018/07/04 10:47:19;null;;;;;;;;;;;;;;
2018/07/04 10:47:30;0;;;;;;;;;;;;;;
2018/07/04 11:30:27;null;;;;;;;;;;;;;;
2018/07/04 11:56:39;0;;;;;;;;;;;;;;
2018/07/04 14:27:29;;0;0;0;;;0;0;;;;;;;
2018/07/04 14:27:29;;;;;;0;;;;0;0;0;0;0;
2018/07/04 14:27:41;0;;;;;;;;;;;;;;
2018/07/04 14:34:37;;;;;;;;;0;;;;;;
2018/07/04 14:48:59;0;0;0;;;;0;0;;;;;;;
2018/07/04 14:48:59;;;;0;;;;;;;;;;;
2018/07/04 14:48:59;;;;;;;;;;;;0;0;0;
2018/07/04 14:48:59;;;;;;;;;;0;0;;;;
2018/07/04 14:49:06;;;;;;0;;;0;;;;;;
2018/07/04 14:56:43;0;0;0;0;;;0;0;;;;;;;
2018/07/04 14:56:49;;;;;;;;;;0;0;0;0;0;
2018/07/04 14:56:49;;;;;;0;;;0;;;;;;
2018/07/04 21:52:20;;;;;;;;;;275;;;;;
2018/07/04 22:19:56;;;;;;;;;;224;;;;;
2018/07/05 00:00:37;null;null;null;null;;null;null;null;null;null;null;null;null;null;
2018/07/05 00:00:50;;0;;;;;0;0;;;;;;;
2018/07/05 00:00:52;;;;;;0;;;;;;;;;
2018/07/05 00:00:52;;;0;0;;;;;;;;;;;
2018/07/05 00:00:53;;;;;;;;;0;224;0;;;;
2018/07/05 00:00:54;;;;;;;;;;;;0;0;0;
2018/07/05 00:00:55;0;;;;;;;;;;;;;;
2018/07/05 01:28:09;;;;;;;;;;0;;;;;
2018/07/05 13:46:42;;0;;;;0;0;0;;;;;;;
2018/07/05 13:46:42;;;0;0;;;;;;;0;;;;
2018/07/05 13:46:42;;;;;;;;;0;;;0;0;0;
2018/07/05 13:46:42;0;;;;;;;;;;;;;;
2018/07/05 13:46:48;;;;;;;;;;0;;;;;
2018/07/05 15:43:30;;;;;0;;;;;;;;;;
2018/07/06 00:00:37;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018/07/06 00:00:50;;0;;;;;0;0;;;;;;;
2018/07/06 00:00:50;;;;;;;;;;;;0;0;0;
2018/07/06 00:00:52;;;;;;;;;0;0;0;;;;
2018/07/06 00:00:53;;;0;0;;;;;;;;;;;
2018/07/06 00:00:53;;;;;0;0;;;;;;;;;
2018/07/06 00:00:55;0;;;;;;;;;;;;;;
2018/07/06 07:17:35;;;;;null;;;;;;;;;;
2018/07/06 07:47:22;;;;;;;;;;;;null;;;
2018/07/06 09:41:13;;;;;0;;;;;;;;;;
2018/07/06 14:03:35;;;;;;;;;;;;0;;;
2018/07/06 15:51:08;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
2018/07/06 17:34:10;;0;;;;;;;;;;;;;
